Script started on Tue 14 Mar 2017 05:35:34 PM UTC
4, Parallel, Filter First, 5.222188, 512
4, Parallel, Data First, 2.460506, 512
8, Parallel, Filter First, 5.223182, 512
8, Parallel, Data First, 2.443847, 512
16, Parallel, Filter First, 5.223824, 512
16, Parallel, Data First, 2.457878, 512
1, Parallel, Filter First, 10.479098, 512
1, Parallel, Data First, 9.847484, 512
2, Parallel, Filter First, 5.225190, 512
2, Parallel, Data First, 4.916501, 512
4, Parallel, Filter First, 5.227204, 512
4, Parallel, Data First, 2.642750, 512
8, Parallel, Filter First, 5.226145, 512
8, Parallel, Data First, 2.442885, 512
16, Parallel, Filter First, 5.223875, 512
16, Parallel, Data First, 2.454031, 512
1, Parallel, Filter First, 10.478141, 512
1, Parallel, Data First, 9.843080, 512
2, Parallel, Filter First, 5.220367, 512
2, Parallel, Data First, 4.913984, 512
4, Parallel, Filter First, 7.200456, 512
4, Parallel, Data First, 2.459916, 512
8, Parallel, Filter First, 5.222289, 512
8, Parallel, Data First, 2.440774, 512
16, Parallel, Filter First, 5.220638, 512
16, Parallel, Data First, 2.450168, 512
1, Parallel, Filter First, 10.460964, 512
1, Parallel, Data First, 9.829959, 512
2, Parallel, Filter First, 5.225138, 512
2, Parallel, Data First, 4.912652, 512
4, Parallel, Filter First, 5.220992, 512
4, Parallel, Data First, 3.280703, 512
8, Parallel, Filter First, 5.220020, 512
8, Parallel, Data First, 2.441540, 512
16, Parallel, Filter First, 5.218817, 512
16, Parallel, Data First, 2.455868, 512
1, Parallel, Filter First, 10.464028, 512
1, Parallel, Data First, 9.830585, 512
2, Parallel, Filter First, 5.219777, 512
2, Parallel, Data First, 4.914547, 512
4, Parallel, Filter First, 6.462125, 512
4, Parallel, Data First, 3.233847, 512
8, Parallel, Filter First, 5.222696, 512
8, Parallel, Data First, 2.442161, 512
16, Parallel, Filter First, 5.221150, 512
16, Parallel, Data First, 2.450840, 512

Script done on Tue 14 Mar 2017 05:53:46 PM UTC
