Script started on Mon 13 Mar 2017 09:22:50 PM UTC
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.59, 512
2, Parallel, Data First, 0.3, 512
4, Parallel, Filter First, 0.935, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.6521, 512
8, Parallel, Data First, 0.1843, 512
16, Parallel, Filter First, 0.237, 512
16, Parallel, Data First, 0.104, 512
1, Parallel, Filter First, 0.8, 512
1, Parallel, Data First, 0.2, 512
2, Parallel, Filter First, 0.58, 512
2, Parallel, Data First, 0.5, 512
4, Parallel, Filter First, 0.63, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.4602, 512
8, Parallel, Data First, 0.3287, 512
16, Parallel, Filter First, 0.219, 512
16, Parallel, Data First, 0.141, 512
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.62, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.62, 512
4, Parallel, Data First, 0.3, 512
8, Parallel, Filter First, 0.3213, 512
8, Parallel, Data First, 0.3293, 512
16, Parallel, Filter First, 0.245, 512
16, Parallel, Data First, 0.107, 512
1, Parallel, Filter First, 0.8, 512
1, Parallel, Data First, 0.0, 512
2, Parallel, Filter First, 0.58, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.56, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.1904, 512
8, Parallel, Data First, 0.2887, 512
16, Parallel, Filter First, 0.214, 512
16, Parallel, Data First, 0.133, 512

Script done on Mon 13 Mar 2017 09:22:53 PM UTC
