Script started on Mon 13 Mar 2017 08:41:10 PM UTC
4, Parallel, Filter First, 5.197378, 512
4, Parallel, Data First, 3.596346, 512
8, Parallel, Filter First, 5.197558, 512
8, Parallel, Data First, 2.478992, 512
16, Parallel, Filter First, 5.196763, 512
16, Parallel, Data First, 2.465330, 512
1, Parallel, Filter First, 10.425966, 512
1, Parallel, Data First, 9.778189, 512
2, Parallel, Filter First, 5.213691, 512
2, Parallel, Data First, 4.889285, 512
4, Parallel, Filter First, 5.214111, 512
4, Parallel, Data First, 4.314324, 512
8, Parallel, Filter First, 5.215236, 512
8, Parallel, Data First, 2.463280, 512
16, Parallel, Filter First, 9.649628, 512
16, Parallel, Data First, 2.490791, 512
1, Parallel, Filter First, 10.429550, 512
1, Parallel, Data First, 9.796103, 512
2, Parallel, Filter First, 5.216140, 512
2, Parallel, Data First, 4.900106, 512
4, Parallel, Filter First, 5.218755, 512
4, Parallel, Data First, 4.905073, 512
8, Parallel, Filter First, 5.220351, 512
8, Parallel, Data First, 2.497067, 512
16, Parallel, Filter First, 5.216316, 512
16, Parallel, Data First, 2.518175, 512
1, Parallel, Filter First, 10.413523, 512
1, Parallel, Data First, 9.773008, 512
2, Parallel, Filter First, 5.198053, 512
2, Parallel, Data First, 4.887576, 512
4, Parallel, Filter First, 5.201248, 512
4, Parallel, Data First, 2.450427, 512
8, Parallel, Filter First, 5.202094, 512
8, Parallel, Data First, 2.486419, 512
16, Parallel, Filter First, 5.198962, 512
16, Parallel, Data First, 2.515190, 512
1, Parallel, Filter First, 10.414541, 512
1, Parallel, Data First, 9.771972, 512
2, Parallel, Filter First, 5.201043, 512
2, Parallel, Data First, 4.887292, 512
4, Parallel, Filter First, 5.203670, 512
4, Parallel, Data First, 3.636696, 512
8, Parallel, Filter First, 5.204916, 512
8, Parallel, Data First, 2.493011, 512
16, Parallel, Filter First, 5.201951, 512
16, Parallel, Data First, 2.540912, 512

Script done on Mon 13 Mar 2017 08:59:28 PM UTC
