Script started on Tue 14 Mar 2017 06:20:02 PM UTC
4, Parallel, Filter First, 2.954089, 512
4, Parallel, Data First, 2.441784, 512
8, Parallel, Filter First, 2.540259, 512
8, Parallel, Data First, 2.464833, 512
16, Parallel, Filter First, 2.540683, 512
16, Parallel, Data First, 2.484513, 512
1, Parallel, Filter First, 10.450258, 512
1, Parallel, Data First, 9.759223, 512
2, Parallel, Filter First, 5.217176, 512
2, Parallel, Data First, 4.882387, 512
4, Parallel, Filter First, 2.609601, 512
4, Parallel, Data First, 2.440794, 512
8, Parallel, Filter First, 2.535249, 512
8, Parallel, Data First, 2.461108, 512
16, Parallel, Filter First, 2.522698, 512
16, Parallel, Data First, 2.484515, 512
1, Parallel, Filter First, 10.466700, 512
1, Parallel, Data First, 9.774566, 512
2, Parallel, Filter First, 5.241633, 512
2, Parallel, Data First, 4.889915, 512
4, Parallel, Filter First, 2.624493, 512
4, Parallel, Data First, 2.441484, 512
8, Parallel, Filter First, 2.524621, 512
8, Parallel, Data First, 2.465361, 512
16, Parallel, Filter First, 2.537921, 512
16, Parallel, Data First, 2.462317, 512
1, Parallel, Filter First, 10.463930, 512
1, Parallel, Data First, 9.771401, 512
2, Parallel, Filter First, 5.233645, 512
2, Parallel, Data First, 4.885168, 512
4, Parallel, Filter First, 5.41337, 512
4, Parallel, Data First, 4.924478, 512
8, Parallel, Filter First, 2.541742, 512
8, Parallel, Data First, 2.464547, 512
16, Parallel, Filter First, 2.528113, 512
16, Parallel, Data First, 2.470668, 512
1, Parallel, Filter First, 10.448806, 512
1, Parallel, Data First, 9.759486, 512
2, Parallel, Filter First, 5.215944, 512
2, Parallel, Data First, 4.881651, 512
4, Parallel, Filter First, 3.217590, 512
4, Parallel, Data First, 2.442524, 512
8, Parallel, Filter First, 2.578032, 512
8, Parallel, Data First, 2.511271, 512
16, Parallel, Filter First, 2.618108, 512
16, Parallel, Data First, 2.518979, 512

Script done on Tue 14 Mar 2017 06:35:34 PM UTC
