Script started on Mon 13 Mar 2017 09:02:50 PM UTC
4, Parallel, Filter First, 3.42087, 512
4, Parallel, Data First, 2.440642, 512
8, Parallel, Filter First, 2.531186, 512
8, Parallel, Data First, 2.464784, 512
16, Parallel, Filter First, 2.542760, 512
16, Parallel, Data First, 2.478442, 512
1, Parallel, Filter First, 10.433354, 512
1, Parallel, Data First, 9.788711, 512
2, Parallel, Filter First, 5.224829, 512
2, Parallel, Data First, 4.895295, 512
4, Parallel, Filter First, 2.600578, 512
4, Parallel, Data First, 2.446459, 512
8, Parallel, Filter First, 2.530797, 512
8, Parallel, Data First, 2.464456, 512
16, Parallel, Filter First, 2.527059, 512
16, Parallel, Data First, 2.487978, 512
1, Parallel, Filter First, 10.414674, 512
1, Parallel, Data First, 9.783609, 512
2, Parallel, Filter First, 5.203707, 512
2, Parallel, Data First, 4.889787, 512
4, Parallel, Filter First, 3.303243, 512
4, Parallel, Data First, 2.446184, 512
8, Parallel, Filter First, 2.710181, 512
8, Parallel, Data First, 2.642302, 512
16, Parallel, Filter First, 2.591824, 512
16, Parallel, Data First, 2.508533, 512
1, Parallel, Filter First, 10.414806, 512
1, Parallel, Data First, 9.783935, 512
2, Parallel, Filter First, 5.196968, 512
2, Parallel, Data First, 4.890964, 512
4, Parallel, Filter First, 2.599835, 512
4, Parallel, Data First, 2.443498, 512
8, Parallel, Filter First, 2.530428, 512
8, Parallel, Data First, 2.464448, 512
16, Parallel, Filter First, 2.588945, 512
16, Parallel, Data First, 2.464125, 512
1, Parallel, Filter First, 10.423448, 512
1, Parallel, Data First, 9.768375, 512
2, Parallel, Filter First, 5.214077, 512
2, Parallel, Data First, 4.883173, 512
4, Parallel, Filter First, 2.611876, 512
4, Parallel, Data First, 2.443037, 512
8, Parallel, Filter First, 2.528803, 512
8, Parallel, Data First, 2.464932, 512
16, Parallel, Filter First, 2.598683, 512
16, Parallel, Data First, 2.494332, 512

Script done on Mon 13 Mar 2017 09:18:25 PM UTC
